country,Type
Afghanistan,undeveloped
Angola,undeveloped
Albania,developed
Andorra,developed
UAE,developed
Argentina,developed
Armenia,undeveloped
Antigua and Barbuda,undeveloped
Australia,developed
Austria,developed
Azerbaijan,undeveloped
Burundi,undeveloped
Belgium,developed
Benin,undeveloped
Burkina Faso,undeveloped
Bangladesh,undeveloped
Bulgaria,developed
Bahrain,developed
Bahamas,developed
Bosnia and Herzegovina,undeveloped
Belarus,developed
Belize,undeveloped
Bolivia,undeveloped
Brazil,undeveloped
Barbados,undeveloped
Brunei,developed
Botswana,undeveloped
Central African Republic,undeveloped
Canada,developed
Switzerland,developed
Chile,developed
China,undeveloped
Cote d'Ivoire,undeveloped
Cameroon,undeveloped
"Congo, Dem. Rep.",undeveloped
"Congo, Rep.",undeveloped
Colombia,undeveloped
Comoros,undeveloped
Cape Verde,undeveloped
Costa Rica,developed
Cuba,undeveloped
Cyprus,developed
Czech Republic,developed
Germany,developed
Djibouti,undeveloped
Dominica,undeveloped
Denmark,developed
Dominican Republic,undeveloped
Algeria,undeveloped
Ecuador,undeveloped
Egypt,undeveloped
Eritrea,undeveloped
Spain,developed
Estonia,developed
Ethiopia,undeveloped
Finland,developed
Fiji,undeveloped
France,developed
"Micronesia, Fed. Sts.",undeveloped
Gabon,undeveloped
UK,developed
Georgia,developed
Ghana,undeveloped
Guinea,undeveloped
Gambia,undeveloped
Guinea-Bissau,undeveloped
Equatorial Guinea,undeveloped
Greece,developed
Grenada,undeveloped
Guatemala,undeveloped
Guyana,undeveloped
"Hong Kong, China",developed
Honduras,undeveloped
Croatia,developed
Haiti,undeveloped
Hungary,developed
Indonesia,undeveloped
India,undeveloped
Ireland,developed
Iran,undeveloped
Iraq,undeveloped
Iceland,developed
Israel,developed
Italy,developed
Jamaica,undeveloped
Jordan,undeveloped
Japan,developed
Kazakhstan,developed
Kenya,undeveloped
Kyrgyz Republic,undeveloped
Cambodia,undeveloped
Kiribati,undeveloped
St. Kitts and Nevis,undeveloped
South Korea,developed
Kuwait,developed
Lao,undeveloped
Lebanon,undeveloped
Liberia,undeveloped
Libya,undeveloped
St. Lucia,undeveloped
Liechtenstein,developed
Sri Lanka,undeveloped
Lesotho,undeveloped
Lithuania,developed
Luxembourg,developed
Latvia,developed
Morocco,undeveloped
Moldova,undeveloped
Madagascar,undeveloped
Maldives,undeveloped
Mexico,undeveloped
North Macedonia,undeveloped
Mali,undeveloped
Malta,developed
Myanmar,undeveloped
Montenegro,developed
Mongolia,undeveloped
Mozambique,undeveloped
Mauritania,undeveloped
Mauritius,developed
Malawi,undeveloped
Malaysia,developed
Namibia,undeveloped
Niger,undeveloped
Nigeria,undeveloped
Nicaragua,undeveloped
Netherlands,developed
Norway,developed
Nepal,undeveloped
New Zealand,developed
Oman,developed
Pakistan,undeveloped
Panama,developed
Peru,undeveloped
Philippines,undeveloped
Palau,undeveloped
Papua New Guinea,undeveloped
Poland,developed
Portugal,developed
Paraguay,undeveloped
Palestine,undeveloped
Qatar,developed
Romania,developed
Russia,developed
Rwanda,undeveloped
Saudi Arabia,developed
Sudan,undeveloped
Senegal,undeveloped
Singapore,developed
Solomon Islands,undeveloped
Sierra Leone,undeveloped
El Salvador,undeveloped
Serbia,developed
Sao Tome and Principe,undeveloped
Suriname,undeveloped
Slovak Republic,developed
Slovenia,developed
Sweden,developed
Eswatini,undeveloped
Seychelles,developed
Syria,undeveloped
Chad,undeveloped
Togo,undeveloped
Thailand,developed
Tajikistan,undeveloped
Turkmenistan,undeveloped
Timor-Leste,undeveloped
Tonga,undeveloped
Trinidad and Tobago,developed
Tunisia,undeveloped
Turkey,developed
Tuvalu,undeveloped
Tanzania,undeveloped
Uganda,undeveloped
Ukraine,undeveloped
Uruguay,developed
USA,developed
Uzbekistan,undeveloped
St. Vincent and the Grenadines,undeveloped
Venezuela,undeveloped
Vietnam,undeveloped
Vanuatu,undeveloped
Samoa,undeveloped
Yemen,undeveloped
South Africa,undeveloped
Zambia,undeveloped
Zimbabwe,undeveloped
